OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuecoli;medecoli;minecoli;maxecoli;devecoli;latitude;longitude
733;GO648I3;2020;GO;SEMAD-GO;RIO JOÃO LEITE;1;5,000000000000000;991,679999999999950;125,000000000000000;1986,000000000000000;917,388146860000006;-15,865347999999999;-49,032640000000001
734;GO648I5;2020;GO;SEMAD-GO;RIO MARANHÃO;1;2,000000000000000;2420,000000000000000;2420,000000000000000;2420,000000000000000;0,000000000000000;-15,118487999999999;-48,262695999999998
735;GO648I8;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;1775,450000000000045;275,500000000000000;2420,000000000000000;1020,652916849999997;-15,397500000000001;-48,952944000000002
736;GO648I9;2020;GO;SEMARH;RIO VERDE;1;2,000000000000000;2420,000000000000000;2420,000000000000000;2420,000000000000000;0,000000000000000;-15,547778000000001;-48,585082999999997
737;GO649I11;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;293,024999999999977;25,000000000000000;1046,200000000000045;502,689648289999980;-15,496888999999999;-49,690944000000002
738;GO649I13;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;167,000000000000000;167,000000000000000;167,000000000000000;0,000000000000000;-15,496167000000000;-49,690277999999999
739;GO649I2;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;76,000000000000000;76,000000000000000;76,000000000000000;0,000000000000000;-15,181361000000001;-49,544556000000000
740;GO649I20;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;224,925000000000011;35,500000000000000;365,399999999999977;167,057981450000000;-15,712667000000000;-49,329306000000003
741;GO649I21;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;1986,000000000000000;1986,000000000000000;1986,000000000000000;0,000000000000000;-16,152832999999998;-49,866750000000003
742;GO649I5;2020;GO;SEMARH;DAS ALMAS;1;2,000000000000000;52,000000000000000;52,000000000000000;52,000000000000000;0,000000000000000;-15,186114999999999;-49,503728000000002
743;GO649I6;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;260,000000000000000;260,000000000000000;260,000000000000000;0,000000000000000;-15,958611000000001;-49,850667000000001
744;GO649R17;2020;GO;SEMARH;RIO DAS ALMAS;1;4,000000000000000;242,550000000000011;110,599999999999994;365,000000000000000;141,605684910000008;-15,829972000000000;-49,247610999999999
745;GO695I10;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;1307,650000000000091;184,199999999999989;2420,000000000000000;1284,463118709999890;-15,599667000000000;-51,037722000000002
746;GO695I11;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;80,000000000000000;80,000000000000000;80,000000000000000;0,000000000000000;-15,930888999999999;-51,328667000000003
747;GO695I14;2020;GO;SEMARH;RIO SANTA LUZIA;1;5,000000000000000;924,019999999999982;236,000000000000000;2420,000000000000000;937,633911500000067;-16,639028000000000;-50,358806000000001
748;GO695I15;2020;GO;SEMARH;Informação não disponível;1;5,000000000000000;623,100000000000023;325,500000000000000;905,000000000000000;268,575966909999977;-15,933138999999999;-50,141502000000003
749;GO695I16;2020;GO;SEMARH;RIO CERRADO;1;4,000000000000000;1466,625000000000000;161,599999999999994;1986,000000000000000;878,159705959999997;-16,479194000000000;-50,490805999999999
750;GO695I2;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;718,600000000000023;107,099999999999994;1732,900000000000091;703,292414290000011;-15,584888999999999;-50,649944000000005
751;GO695I4;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;613,100000000000023;613,100000000000023;613,100000000000023;0,000000000000000;-16,536971999999999;-50,558861000000000
752;GO695I6;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;1540,375000000000000;21,800000000000001;2420,000000000000000;1141,851532599999928;-15,816750000000001;-50,628250000000001
753;GO695I8;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;1413,099999999999909;86,200000000000003;2419,599999999999909;1191,285205150000138;-16,479639000000002;-50,490028000000002
754;GO695I9;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;204,375000000000000;139,599999999999994;290,899999999999977;63,031493449999999;-16,461832999999999;-50,546250000000001
755;GO696E8;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;172,000000000000000;172,000000000000000;172,000000000000000;0,000000000000000;-15,890250000000000;-51,852639000000003
756;GO7478I22;2020;GO;SEMARH;CORUMBA;1;4,000000000000000;505,000000000000000;22,600000000000001;980,000000000000000;548,516034409999975;-15,683611000000001;-47,125833000000000
757;GO7478IE13;2020;GO;SEMARH;PEIXE;1;4,000000000000000;463,699999999999989;155,300000000000011;687,000000000000000;267,042805559999977;-15,616662000000000;-46,882218999999999
758;GO8491I27;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;670,174999999999955;157,599999999999994;1553,099999999999909;616,351968579999948;-18,304222000000003;-51,142611000000002
759;GO8491I45;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;392,699999999999989;4,000000000000000;1553,099999999999909;773,604425190000029;-18,528167000000000;-51,172750000000001
760;GO8491I5;2020;GO;SEMAD-GO;RIO VERDE;1;4,000000000000000;19,350000000000001;3,000000000000000;48,000000000000000;20,485848770000000;-18,731008000000003;-51,245939999999997
761;GO8494I1;2020;GO;SEMARH;RIO SÃO TOMÁS;1;2,000000000000000;727,000000000000000;727,000000000000000;727,000000000000000;0,000000000000000;-17,887777999999997;-50,463305999999996
762;GO8494I11;2020;GO;SEMARH;SANTA MARIA;1;4,000000000000000;328,800000000000011;281,000000000000000;435,199999999999989;73,046286699999996;-16,728000000000002;-49,593110000000003
763;GO8494I12;2020;GO;SEMAD-GO;RIO CORUMBÁ;1;4,000000000000000;762,975000000000023;6,000000000000000;1413,599999999999909;756,278653999999960;-17,445901000000003;-49,230094999999999
764;GO8494I13;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;727,000000000000000;727,000000000000000;727,000000000000000;0,000000000000000;-17,876611000000000;-50,552389000000005
765;GO8494I15;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;335,399999999999977;326,000000000000000;344,800000000000011;10,854185060000001;-17,272905999999999;-50,121731999999994
766;GO8494I16;2020;GO;SEMARH;RIO CAPIVARI;1;4,000000000000000;647,000000000000000;139,599999999999994;816,399999999999977;338,266719220000027;-17,022193999999999;-50,066499999999998
767;GO8494I17;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;88,000000000000000;88,000000000000000;88,000000000000000;0,000000000000000;-16,973528000000002;-50,279111000000000
768;GO8494I19;2020;GO;SEMARH;RIO DOS BOIS;1;3,000000000000000;124,433333329999996;115,299999999999997;129,000000000000000;7,909698690000000;-16,794222000000001;-49,775666999999999
769;GO8494I2;2020;GO;SEMAD-GO;RIO VERDE;1;2,000000000000000;50,399999999999999;50,399999999999999;50,399999999999999;0,000000000000000;-17,965406999999999;-50,334603999999999
770;GO8494I20;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;56,024999999999999;6,000000000000000;204,599999999999994;99,052523949999994;-16,423056000000003;-50,043333000000004
771;GO8494I22;2020;GO;SEMARH;RIO DOS BOIS;1;2,000000000000000;210,000000000000000;210,000000000000000;210,000000000000000;0,000000000000000;-18,048777999999999;-50,196833000000005
772;GO8494I23;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;770,000000000000000;770,000000000000000;770,000000000000000;0,000000000000000;-17,699832999999998;-50,465750000000000
773;GO8494I24;2020;GO;SEMARH;RIO VERDÃO;1;2,000000000000000;1553,000000000000000;1553,000000000000000;1553,000000000000000;0,000000000000000;-17,325722000000003;-50,682639000000002
774;GO8494I25;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;866,000000000000000;866,000000000000000;866,000000000000000;0,000000000000000;-16,597832999999998;-50,187193999999998
775;GO8494I26;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;980,000000000000000;980,000000000000000;980,000000000000000;0,000000000000000;-17,495639000000001;-50,039805999999999
776;GO8494I27;2020;GO;SEMARH;RIO CAPIVARI;1;2,000000000000000;96,000000000000000;96,000000000000000;96,000000000000000;0,000000000000000;-17,105832999999997;-50,071500000000000
777;GO8494I28;2020;GO;SEMARH;RIO TURVO;1;2,000000000000000;1300,000000000000000;1300,000000000000000;1300,000000000000000;0,000000000000000;-16,812777999999998;-50,269250000000000
778;GO8494I29;2020;GO;SEMARH;RIO DOS BOIS;1;4,000000000000000;448,500000000000000;150,000000000000000;1046,000000000000000;404,478676819999976;-17,614305999999999;-49,906610999999998
779;GO8494I3;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;115,000000000000000;115,000000000000000;115,000000000000000;0,000000000000000;-17,793355999999999;-50,161017999999999
780;GO8494I30;2020;GO;SEMARH;RIO DOS BOIS;1;2,000000000000000;328,000000000000000;328,000000000000000;328,000000000000000;0,000000000000000;-16,979194000000000;-49,746805999999999
781;GO8494I31;2020;GO;SEMARH;RIBEIRÃO DOS PEREIRAS;1;3,000000000000000;539,700000000000045;461,100000000000023;579,000000000000000;68,069596740000009;-16,783389000000000;-49,588667000000001
782;GO8494I32;2020;GO;SEMARH;ANICUNS;1;4,000000000000000;170,750000000000000;86,000000000000000;206,000000000000000;57,360700829999999;-16,573219999999999;-49,728020000000001
783;GO8494I33;2020;GO;SEMARH;RIO AREIAS;1;4,000000000000000;31,899999999999999;1,000000000000000;78,000000000000000;32,651799339999997;-16,110722000000003;-48,351944000000003
784;GO8494I36;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;66,000000000000000;66,000000000000000;66,000000000000000;0,000000000000000;-17,953611000000002;-50,280000000000001
785;GO8494I37;2020;GO;SEMAD-GO;RIO SÃO TOMÁS;1;2,000000000000000;613,000000000000000;613,000000000000000;613,000000000000000;0,000000000000000;-17,875370000000000;-50,719395999999996
786;GO8494I4;2020;GO;SEMARH;RIO VERDÃO;1;2,000000000000000;517,000000000000000;517,000000000000000;517,000000000000000;0,000000000000000;-17,543528000000002;-50,557444000000004
787;GO8494I5;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;7,000000000000000;7,000000000000000;7,000000000000000;0,000000000000000;-17,486416999999999;-50,069693999999998
788;GO8494I6;2020;GO;SEMAD-GO;RIO JOÃO LEITE;1;4,000000000000000;2242,000000000000000;310,000000000000000;4718,000000000000000;1826,761068119999891;-16,622184000000001;-49,239851999999999
789;GO8494I8;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;228,000000000000000;228,000000000000000;228,000000000000000;0,000000000000000;-17,205611000000001;-50,105167000000002
790;GO8494I9;2020;GO;SEMARH;RIO DOS BOIS;1;4,000000000000000;1109,875000000000000;107,099999999999994;1733,000000000000000;783,455445980000036;-17,097971999999999;-49,615944000000006
791;GO8494R34;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;770,000000000000000;770,000000000000000;770,000000000000000;0,000000000000000;-17,127500000000001;-50,638638999999998
792;GO8495E31;2020;GO;SEMARH;RIO MEIA PONTE;1;4,000000000000000;63660,500000000000000;3810,000000000000000;198630,000000000000000;92401,402808619997813;-16,641880000000000;-49,256790000000002
793;GO8495I1;2020;GO;SEMARH;RIO MEIA PONTE;1;4,000000000000000;27447,250000000000000;12997,000000000000000;48392,000000000000000;14928,513464170000589;-16,741800000000001;-49,142769999999999
794;GO8495I10;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;1494,400000000000091;410,600000000000023;2420,000000000000000;1076,567991350000057;-16,612139000000003;-49,003693999999996
795;GO8495I11;2020;GO;SEMARH;RIO MEIA PONTE;1;4,000000000000000;1114,724999999999909;344,100000000000023;1733,000000000000000;724,678537349999942;-16,134277999999998;-49,549278000000001
796;GO8495I16;2020;GO;SEMAD-GO;RIO JOÃO LEITE;1;4,000000000000000;1462,625000000000000;325,500000000000000;1986,000000000000000;785,082519550000029;-16,385800000000000;-49,100966000000000
797;GO8495I17;2020;GO;SEMARH;Rio Meia Ponte;1;4,000000000000000;1097,075000000000045;90,799999999999997;1986,000000000000000;1030,904565180000191;-16,345917000000000;-49,494972000000004
798;GO8495I2;2020;GO;SEMARH;RIO MEIA PONTE;1;4,000000000000000;706,149999999999977;47,000000000000000;1299,700000000000045;687,462272900000016;-17,599582999999999;-49,363944000000004
799;GO8495I5;2020;GO;SEMARH;RIO MEIA PONTE;1;5,000000000000000;4445,520000000000437;2419,599999999999909;6867,000000000000000;2267,196385849999842;-17,015339999999998;-49,082270000000001
800;GO8495I7;2020;GO;SEMARH;RIO MEIA PONTE;1;4,000000000000000;1917,650000000000091;411,000000000000000;2420,000000000000000;1004,433351030000040;-18,085239999999999;-51,621739999999996
801;GO8495I8;2020;GO;SEMARH;Informação não disponível;1;5,000000000000000;1149,099999999999909;547,500000000000000;3130,000000000000000;1110,158119370000122;-16,804055999999999;-49,059416999999996
802;GO8495I9;2020;GO;SEMARH;RIO MEIA PONTE;1;5,000000000000000;11633,479999999999563;488,399999999999977;24196,000000000000000;11698,869293739999193;-16,919809999999998;-49,117150000000002
803;GO8495IE26;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;2419,800000000000182;2419,599999999999909;2420,000000000000000;0,230940110000000;-18,365417000000001;-49,159111000000003
804;GO8495IE4;2020;GO;SEMARH;RIO MEIA PONTE;1;4,000000000000000;291,725000000000023;33,000000000000000;862,000000000000000;386,496273159999987;-18,477332999999998;-49,614806000000002
805;GO8495R27;2020;GO;SEMARH;RIBEIRÃO JOÃO LEITE;1;4,000000000000000;5300,250000000000000;727,000000000000000;9804,000000000000000;5200,792143189999479;-16,320571999999999;-48,985981000000002
806;GO8496I10;2020;GO;SEMAD-GO;RIO DOS BOIS;1;2,000000000000000;839,000000000000000;839,000000000000000;839,000000000000000;0,000000000000000;-17,052457999999998;-48,554386999999998
807;GO8496I11;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;466,524999999999977;179,300000000000011;816,399999999999977;262,598062640000023;-15,928556000000000;-48,628944000000004
808;GO8496I12;2020;GO;SEMARH;RIO PIRACANJUBA;1;4,000000000000000;1840,200000000000045;100,799999999999997;2420,000000000000000;1159,599999999999909;-17,721332999999998;-48,838693999999997
809;GO8496I14;2020;GO;SEMARH;Informação não disponível;1;2,000000000000000;461,000000000000000;461,000000000000000;461,000000000000000;0,000000000000000;-17,358888999999998;-48,252777999999999
810;GO8496I15;2020;GO;SEMARH;RIO DO PEIXE;1;4,000000000000000;408,225000000000023;23,000000000000000;687,000000000000000;333,429256609999982;-17,344090000000001;-48,242851000000002
811;GO8496I16;2020;GO;SEMARH;RIO VERMELHO;1;2,000000000000000;1120,000000000000000;1120,000000000000000;1120,000000000000000;0,000000000000000;-16,590889000000001;-48,537027999999999
812;GO8496I18;2020;GO;SEMARH;CORUMBA;1;4,000000000000000;855,174999999999955;76,299999999999997;1413,599999999999909;669,465042030000063;-15,917310000000001;-48,807710000000000
813;GO8496I19;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;254,849999999999994;248,900000000000006;261,300000000000011;6,882586720000000;-16,010028000000002;-48,628944000000004
814;GO8496I2;2020;GO;SEMARH;Informação não disponível;1;4,000000000000000;348,949999999999989;308,000000000000000;435,000000000000000;59,932267320000001;-17,713888999999998;-48,495556000000001
