OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuod;medod;minod;maxod;devod;latitude;longitude
1239;JE037;2020;MG;IGAM;Rio Araçuaí;1;8,000000000000000;6,912500000000000;5,100000000000000;8,699999999999999;1,254065000000000;-16,420000000000002;-41,009999999999998
1240;JE038;2020;MG;IGAM;Rio Jequitinhonha;1;8,000000000000000;7,562500000000000;6,300000000000000;8,400000000000000;0,772635000000000;-16,570000000000000;-42,759999999999998
1241;JE039;2020;MG;IGAM;Rio Araçuaí;1;8,000000000000000;8,050000000000001;7,300000000000000;8,800000000000001;0,565685000000000;-16,660000000000000;-41,140000000000001
1242;JE040;2020;MG;IGAM;Rio Capivari;1;6,000000000000000;7,633333000000000;6,700000000000000;8,400000000000000;0,581951000000000;-16,920000000000002;-41,460000000000001
1243;JE041;2020;MG;IGAM;Rio Setúbal;1;8,000000000000000;8,074999999999999;7,600000000000000;8,400000000000000;0,296407000000000;-16,859999999999999;-41,759999999999998
1244;JE042;2020;MG;IGAM;Rio Araçuaí;1;7,000000000000000;6,914286000000000;5,500000000000000;8,199999999999999;0,954688000000000;-15,230000000000000;-41,979999999999997
1245;JE043;2020;MG;IGAM;Rio Araçuaí;1;8,000000000000000;7,912500000000000;7,200000000000000;8,800000000000001;0,591457000000000;-16,870000000000001;-41,310000000000002
1246;JE044;2020;MG;IGAM;Ribeirão São João;1;8,000000000000000;7,950000000000000;6,800000000000000;9,199999999999999;0,767184000000000;-16,579999999999998;-41,500000000000000
1247;JE045;2020;MG;IGAM;Rio Jequitinhonha;1;8,000000000000000;7,650000000000000;7,100000000000000;8,699999999999999;0,498569000000000;-15,470000000000001;-40,710000000000001
1248;JE046;2020;MG;IGAM;Rio São Miguel;1;8,000000000000000;7,387500000000000;6,100000000000000;9,000000000000000;0,786380000000000;-16,570000000000000;-41,020000000000003
1249;JE047;2020;MG;IGAM;Rio São Francisco;1;8,000000000000000;7,275000000000000;4,600000000000000;9,400000000000000;1,695161000000000;-15,980000000000000;-40,890000000000001
1250;JE048;2020;MG;IGAM;Rio Rubim do Norte;1;8,000000000000000;7,687500000000000;7,200000000000000;9,100000000000000;0,601041000000000;-16,050000000000001;-40,439999999999998
1251;JE049;2020;MG;IGAM;Rio Jequitinhonha;1;8,000000000000000;7,687500000000000;7,000000000000000;8,800000000000001;0,584166000000000;-16,140000000000001;-40,210000000000001
1252;JU001;2020;MG;IGAM;Rio Jucuruçú;1;8,000000000000000;8,300000000000001;7,500000000000000;9,000000000000000;0,523723000000000;-16,731690000000000;-40,419470000000004
1253;JU003;2020;MG;IGAM;Rio Jucuruçú;1;8,000000000000000;8,525000000000000;7,400000000000000;9,699999999999999;0,714643000000000;-16,838609999999999;-40,319170000000000
1254;MU001;2020;MG;IGAM;Rio Mucuri;1;8,000000000000000;8,025000000000000;7,300000000000000;9,100000000000000;0,582482000000000;-17,494439999999997;-41,312219999999996
1255;MU002;2020;MG;IGAM;Rio Preto (MU1);1;8,000000000000000;7,512500000000000;6,100000000000000;8,699999999999999;0,816679000000000;-17,377219999999998;-41,579530000000005
1256;MU003;2020;MG;IGAM;Ribeirão Marambaia;1;8,000000000000000;8,175000000000001;7,200000000000000;9,199999999999999;0,704577000000000;-17,401669999999999;-41,238330000000005
1257;MU005;2020;MG;IGAM;Rio Mucuri;1;7,000000000000000;7,657143000000000;7,000000000000000;8,600000000000000;0,541163000000000;-17,491940000000000;-41,237719999999996
1258;MU006;2020;MG;IGAM;Rio Todos os Santos;1;7,000000000000000;3,228571000000000;0,800000000000000;6,200000000000000;1,693826000000000;-17,841419999999999;-41,687719999999999
1259;MU007;2020;MG;IGAM;Rio Todos os Santos;1;8,000000000000000;5,012500000000000;3,000000000000000;7,200000000000000;1,379894000000000;-17,882690000000000;-41,306219999999996
1260;MU008;2020;MG;IGAM;Rio Urucu;1;8,000000000000000;5,212500000000000;1,200000000000000;7,600000000000000;2,284380000000000;-17,914890000000000;-41,011139999999997
1261;MU009;2020;MG;IGAM;Rio Mucuri;1;8,000000000000000;7,112500000000000;5,800000000000000;8,800000000000001;1,038457000000000;-17,704329999999999;-40,721750000000000
1262;MU011;2020;MG;IGAM;Rio Pampã;1;8,000000000000000;7,762500000000000;6,600000000000000;9,199999999999999;0,738604000000000;-17,706109999999999;-40,609169999999999
1263;MU013;2020;MG;IGAM;Rio Mucuri;1;8,000000000000000;7,475000000000000;6,500000000000000;8,800000000000001;0,716639000000000;-17,838139999999999;-40,340559999999996
1264;MU014;2020;MG;IGAM;Rio Mucuri;1;8,000000000000000;7,875000000000000;6,600000000000000;9,100000000000000;0,740174000000000;-17,595060000000000;-41,492079999999994
1265;PA001;2020;MG;IGAM;Rio Pará;1;8,000000000000000;7,875000000000000;5,000000000000000;8,900000000000000;1,211552000000000;-20,631719999999998;-44,431690000000003
1266;PA002;2020;MG;IGAM;Ribeirão Lava-pés ou Ribeirão Paiol;1;8,000000000000000;3,950000000000000;2,100000000000000;7,900000000000000;1,853953000000000;-20,517499999999998;-44,618610000000004
1267;PA003;2020;MG;IGAM;Rio Pará;1;8,000000000000000;7,137500000000000;6,000000000000000;8,000000000000000;0,632314000000000;-20,406109999999998;-44,629719999999999
1268;PA004;2020;MG;IGAM;Rio Itapecerica;1;8,000000000000000;6,175000000000000;4,400000000000000;7,800000000000000;1,370870000000000;-20,217169999999999;-44,917830000000002
1269;PA005;2020;MG;IGAM;Rio Pará;1;8,000000000000000;6,175000000000000;2,900000000000000;8,000000000000000;1,689252000000000;-20,105939999999997;-44,842919999999999
1270;PA007;2020;MG;IGAM;Rio Itapecerica;1;8,000000000000000;6,600000000000000;4,500000000000000;8,400000000000000;1,583847000000000;-20,112750000000002;-44,873890000000003
