OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuturb;medturb;minturb;maxturb;devturb;latitude;longitude
2401;85400010;2020;RS;FEPAM;Rio Jacui;1;3,000000000000000;7,516667000000000;4,450000000000000;13,500000000000000;5,182261000000000;-29,628599999999999;-53,353400000000001
2402;85401000;2020;RS;FEPAM;Arroio Francisco Alves;1;3,000000000000000;307,500000000000000;57,500000000000000;515,000000000000000;231,692145000000011;-29,702719000000002;-52,603349999999999
2403;85427100;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;15,034000000000001;4,970000000000000;41,000000000000000;15,137166000000001;-29,707083000000001;-53,284889000000000
2404;85436200;2020;RS;FEPAM;Arroio Arenal;1;5,000000000000000;19,713999999999999;13,180000000000000;27,770000000000000;6,161589000000000;-29,811693999999999;-53,772542000000001
2405;85436300;2020;RS;FEPAM;Rio Vacacaí-Mirim;1;5,000000000000000;39,095999999999997;19,840000000000000;69,150000000000006;20,967212999999997;-29,800416999999999;-53,368444000000004
2406;85438500;2020;RS;FEPAM;Rio Vacacai Mirim;1;5,000000000000000;43,246000000000002;23,020000000000000;65,090000000000003;19,608725000000000;-29,873691999999998;-53,263041999999999
2407;85442000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;56,814000000000000;20,390000000000001;85,200000000000003;30,193137000000000;-29,923860999999999;-53,418416999999998
2408;85466000;2020;RS;FEPAM;Rio Vacacai;1;5,000000000000000;22,202000000000002;7,460000000000000;43,000000000000000;13,087082000000001;-30,360091999999998;-54,312873000000003
2409;85484000;2020;RS;FEPAM;Rio Vacacai;1;5,000000000000000;37,508000000000003;25,710000000000001;57,700000000000003;12,652037999999999;-30,231985999999999;-53,985530000000004
2410;85570000;2020;RS;FEPAM;Rio Vacacaí;1;5,000000000000000;48,718000000000004;23,410000000000000;76,200000000000003;23,201228000000000;-29,936889000000001;-53,711250000000000
2411;85620500;2020;RS;FEPAM;Rio Sao Sepe;1;5,000000000000000;21,649999999999999;5,070000000000000;41,799999999999997;18,385679000000000;-30,194136000000000;-53,568093999999995
2412;85630600;2020;RS;FEPAM;Rio Sao Sepe;1;5,000000000000000;35,680000000000000;15,410000000000000;56,799999999999997;18,750267999999998;-30,043982000000000;-53,462527000000001
2413;85642010;2020;RS;FEPAM;Rio Jacui;1;3,000000000000000;27,266667000000002;16,000000000000000;35,799999999999997;10,179063000000001;-30,010000000000002;-53,015999999999998
2414;85651020;2020;RS;FEPAM;Rio Botucarai;1;3,000000000000000;31,266667000000002;21,000000000000000;49,299999999999997;15,667268999999999;-29,973431000000001;-52,842136000000004
2415;85658000;2020;RS;FEPAM;Rio Jacuí;1;3,000000000000000;56,306667000000004;34,119999999999997;100,000000000000000;37,841064000000003;-29,939000000000000;-52,319000000000003
2416;85662000;2020;RS;FEPAM;Arroio Pequiri;1;3,000000000000000;52,033332999999999;37,500000000000000;72,599999999999994;18,311290000000000;-30,092872000000000;-52,732950000000002
2417;85730900;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;63,561999999999998;2,000000000000000;253,009999999999991;107,623558000000003;-29,542860999999998;-52,815667000000005
2418;85739810;2020;RS;FEPAM;Rio Pardo;1;2,000000000000000;67,500000000000000;57,000000000000000;78,000000000000000;14,849242000000000;-29,673145000000002;-52,769890000000004
2419;85779010;2020;RS;FEPAM;Rio Pardo;1;3,000000000000000;21,983332999999998;10,000000000000000;38,500000000000000;14,780928000000001;-29,777905999999998;-52,575780999999999
2420;85781100;2020;RS;FEPAM;Rio Pardo;1;3,000000000000000;58,866667000000000;26,500000000000000;100,000000000000000;37,526035000000000;-29,828296999999999;-52,551264000000003
2421;85881000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;54,095999999999997;16,230000000000000;100,000000000000000;35,980339000000001;-29,991555999999999;-52,384582999999999
2422;85930000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;26,404000000000000;14,650000000000000;41,500000000000000;11,098416000000000;-29,953889000000000;-51,763416999999997
2423;86020000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;1,482000000000000;0,000000000000000;3,660000000000000;1,349785000000000;-28,783583000000000;-49,981917000000003
