OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nup;medp;minp;maxp;devp;latitude;longitude
1783;65024000;2020;PR;Águas Paraná;Rio Passauna;1;6,000000000000000;0,306667000000000;0,130000000000000;1,000000000000000;0,340627000000000;-25,574497000000001;-49,429927000000006
1784;65025000;2020;PR;Águas Paraná;Rio Iguacu;1;6,000000000000000;0,650000000000000;0,320000000000000;0,910000000000000;0,224410000000000;-25,600360999999999;-49,513556000000001
1785;65027000;2020;PR;Águas Paraná;Rio Verde;1;6,000000000000000;0,426667000000000;0,170000000000000;1,000000000000000;0,293848000000000;-25,579943999999998;-49,583167000000003
1786;65028000;2020;PR;Águas Paraná;Rio Iguacu;1;6,000000000000000;0,551667000000000;0,320000000000000;0,720000000000000;0,179601000000000;-25,587232999999998;-49,631898999999997
1787;65034000;2020;PR;Águas Paraná;Rio dos Papagaios;1;6,000000000000000;0,024500000000000;0,013000000000000;0,031000000000000;0,007609000000000;-25,460000000000001;-49,770000000000003
1788;65035000;2020;PR;Águas Paraná;Rio Iguacu;1;6,000000000000000;0,526667000000000;0,180000000000000;0,840000000000000;0,271490000000000;-25,548056000000003;-49,889611000000002
1789;65060000;2020;PR;Águas Paraná;Rio Iguaçu;1;6,000000000000000;0,200500000000000;0,063000000000000;0,350000000000000;0,097332000000000;-25,875556000000000;-50,389444000000005
1790;65090000;2020;PR;Águas Paraná;Rio Negro;1;6,000000000000000;0,073000000000000;0,044000000000000;0,170000000000000;0,047900000000000;-26,154722000000000;-49,380555999999999
1791;65093000;2020;PR;Águas Paraná;RIO NEGRINHO;1;6,000000000000000;0,125500000000000;0,044000000000000;0,320000000000000;0,100796000000000;-26,225000000000001;-49,518332999999998
1792;65094500;2020;PR;Águas Paraná;Rio Preto;1;6,000000000000000;0,031833000000000;0,026000000000000;0,045000000000000;0,007083000000000;-25,377580000000002;-49,119778000000004
1793;65095000;2020;PR;Águas Paraná;Rio Negro;1;6,000000000000000;0,106000000000000;0,065000000000000;0,220000000000000;0,059595000000000;-26,226614000000001;-49,583686999999998
1794;65135000;2020;PR;Águas Paraná;Rio da Várzea;1;6,000000000000000;0,058667000000000;0,038000000000000;0,100000000000000;0,022536000000000;-25,934443999999999;-49,393056000000001
1795;65136550;2020;PR;Águas Paraná;Rio da Varzea;1;6,000000000000000;0,089000000000000;0,052000000000000;0,200000000000000;0,055462000000000;-25,864200000000000;-49,512799999999999
